index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
936,161.394709,Series RC,-0.947464,,5.17011616537e-07,-3.078363,-107.107406,170.171310,1000000,0.009025,10.000000,1,3.220870,0.029067,100.000000,-116.936088,0,100000,0,-0.947464,50.000000
937,161.570106,Series RC,-0.827301,,5.4321262348e-07,-2.929883,-105.767906,-159.839294,1000000,0.009036,10.000000,1,3.044445,0.027511,100.000000,-85.607200,0,100000,0,-0.827301,50.000000
938,161.745208,Series RC,-1.023811,,5.44127462701e-07,-2.924957,-109.291366,147.924896,1000000,0.009004,10.000000,1,3.098962,0.027904,100.000000,-141.366470,0,100000,0,-1.023811,50.000000
939,161.919881,Series RC,-0.894875,,5.72063134154e-07,-2.782122,-107.830490,-131.819869,1000000,0.009027,10.000000,1,2.922500,0.026382,100.000000,-59.650356,0,100000,0,-0.894875,50.000000
940,162.096578,Series RC,-0.891423,,5.67566661039e-07,-2.804163,-107.635070,123.927742,1000000,0.009047,10.000000,1,2.942442,0.026619,100.000000,-163.707336,0,100000,0,-0.891423,50.000000
941,162.269808,Series RC,-0.943942,,5.65760529135e-07,-2.813115,-108.549201,152.574859,1000000,0.009018,10.000000,1,2.967262,0.026758,100.000000,-135.974319,0,100000,0,-0.943942,50.000000
942,162.444583,Series RC,-0.846429,,5.36601719338e-07,-2.965979,-105.927635,129.389999,1000000,0.009034,10.000000,1,3.084392,0.027864,100.000000,-156.537643,0,100000,0,-0.846429,50.000000
943,162.619029,Series RC,-0.848626,,5.53049367347e-07,-2.877771,-106.430259,126.666183,1000000,0.009039,10.000000,1,3.000289,0.027120,100.000000,-159.764083,0,100000,0,-0.848626,50.000000
944,162.795281,Series RC,-1.071385,,5.17647080359e-07,-3.074584,-109.211662,106.548866,1000000,0.008998,10.000000,1,3.255907,0.029297,100.000000,177.337203,0,100000,0,-1.071385,50.000000
945,162.968507,Series RC,-0.946834,,5.16651614253e-07,-3.080508,-107.085479,62.345512,1000000,0.009024,10.000000,1,3.222736,0.029082,100.000000,135.260040,0,100000,0,-0.946834,50.000000
