index,elapsed_s,model,series_r,series_l,series_c,shunt_range,voltage_pga,impedance_imag_ohm,impedance_real_ohm,phase_diff_deg,shunt_resistance_ohm,current_pga,current_phase_deg,impedance_mag_ohm,samples_per_period,current_amplitude_a,sample_rate_hz,captured_cycles,dds_frequency_hz,voltage_amplitude_v,voltage_phase_deg
1,0.105638,Series RL,0.569612,0.000108663209814,,0,0,40.965065,0.569612,89.203361,100.000000,0,66.858863,40.969024,16.666666,0.007763,1000000,24.000000,60000,0.318038,-23.937776
2,0.159535,Series RL,0.608276,0.000108523527478,,0,0,40.912406,0.608276,89.148200,100.000000,0,-27.672140,40.916927,16.666666,0.007763,1000000,24.000000,60000,0.317650,-118.523941
3,0.212827,Series RL,0.533992,0.000108574032647,,0,0,40.931446,0.533992,89.252563,100.000000,0,-30.930326,40.934928,16.666666,0.007762,1000000,24.000000,60000,0.317740,-121.677764
4,0.268570,Series RL,0.547432,0.000108594247977,,0,0,40.939067,0.547432,89.233894,100.000000,0,31.486097,40.942729,16.666666,0.007762,1000000,24.000000,60000,0.317811,-59.280006
5,0.322045,Series RL,0.580955,0.000108499343884,,0,0,40.903289,0.580955,89.186271,100.000000,0,172.068344,40.907413,16.666666,0.007765,1000000,24.000000,60000,0.317626,81.254615
6,0.374304,Series RL,0.571915,0.000108562525744,,0,0,40.927108,0.571915,89.199394,100.000000,0,167.019775,40.931102,16.666666,0.007765,1000000,24.000000,60000,0.317825,76.219169
7,0.426712,Series RL,0.557925,0.000108597871405,,0,0,40.940433,0.557925,89.219230,100.000000,0,122.810523,40.944236,16.666666,0.007764,1000000,24.000000,60000,0.317883,32.029762
8,0.478958,Series RL,0.580387,0.00010854997903,,0,0,40.922378,0.580387,89.187446,100.000000,0,78.368164,40.926494,16.666666,0.007763,1000000,24.000000,60000,0.317715,-12.444394
9,0.542850,Series RL,0.596447,0.000108494386208,,0,0,40.901420,0.596447,89.164535,100.000000,0,-107.426376,40.905769,16.666666,0.007763,1000000,24.000000,60000,0.317548,161.738143
10,0.605608,Series RL,0.555140,0.000108545801212,,0,0,40.920803,0.555140,89.222763,100.000000,0,105.937019,40.924568,16.666666,0.007763,1000000,24.000000,60000,0.317696,15.159779
