index,elapsed_s,model,series_r,series_l,series_c,current_pga,current_amplitude_a,dds_frequency_hz,samples_per_period,voltage_phase_deg,phase_diff_deg,shunt_range,current_phase_deg,impedance_real_ohm,impedance_imag_ohm,sample_rate_hz,impedance_mag_ohm,voltage_pga,captured_cycles,voltage_amplitude_v,shunt_resistance_ohm
54,3.052277,Series RL,0.673278,0.000109689376694,,0,0.007851,50000,20.000000,23.914218,88.880699,0,115.033523,0.673278,34.459934,1000000,34.466510,0,20.000000,0.270580,100.000000
55,3.138836,Series RL,0.583467,0.000108267712433,,0,0.007848,50000,20.000000,-152.032089,89.017242,0,-61.049324,0.583467,34.013305,1000000,34.018310,0,20.000000,0.266992,100.000000
56,3.199764,Series RL,0.687741,0.000109947939815,,0,0.007851,50000,20.000000,-68.410835,88.859344,0,22.729824,0.687741,34.541164,1000000,34.548011,0,20.000000,0.271237,100.000000
57,3.258840,Series RL,0.675946,0.000108660974748,,0,0.007850,50000,20.000000,26.615135,88.865631,0,117.749504,0.675946,34.136852,1000000,34.143543,0,20.000000,0.268011,100.000000
58,3.313005,Series RL,0.684575,0.000109660391396,,0,0.007852,50000,20.000000,77.811645,88.861618,0,168.950012,0.684575,34.450828,1000000,34.457630,0,20.000000,0.270555,100.000000
59,3.365200,Series RL,0.383971,0.000108607377729,,0,0.007848,50000,20.000000,69.970184,89.355239,0,160.614944,0.383971,34.120014,1000000,34.122177,0,20.000000,0.267779,100.000000
60,3.428203,Series RL,0.615076,0.000109964065394,,0,0.007849,50000,20.000000,75.759201,88.979988,0,166.779220,0.615076,34.546230,1000000,34.551704,0,20.000000,0.271208,100.000000
61,3.479871,Series RL,0.612999,0.000108368969991,,0,0.007851,50000,20.000000,9.383426,88.968475,0,100.414955,0.612999,34.045116,1000000,34.050632,0,20.000000,0.267341,100.000000
62,3.532648,Series RL,0.676202,0.000109288694576,,0,0.007850,50000,20.000000,78.966636,88.871711,0,170.094940,0.676202,34.334056,1000000,34.340717,0,20.000000,0.269577,100.000000
63,3.592187,Series RL,0.417747,0.000109029841793,,0,0.007848,50000,20.000000,160.955459,89.301246,0,-108.345809,0.417747,34.252735,1000000,34.255283,0,20.000000,0.268841,100.000000
64,3.645876,Series RL,0.384497,0.000108122693632,,0,0.007851,50000,20.000000,101.439094,89.351470,0,-167.912353,0.384497,33.967746,1000000,33.969924,0,20.000000,0.266694,100.000000
65,3.701741,Series RL,0.664496,0.000109893989472,,0,0.007850,50000,20.000000,-122.472419,88.897346,0,-31.369768,0.664496,34.524215,1000000,34.530609,0,20.000000,0.271066,100.000000
66,3.755456,Series RL,0.683075,0.000109221534373,,0,0.007852,50000,20.000000,61.186054,88.859550,0,152.326507,0.683075,34.312957,1000000,34.319755,0,20.000000,0.269464,100.000000
67,3.807193,Series RL,0.322567,0.000108122037913,,0,0.007846,50000,20.000000,32.102916,89.455917,0,122.646995,0.322567,33.967540,1000000,33.969070,0,20.000000,0.266531,100.000000
68,3.860972,Series RL,0.648702,0.000110000018495,,0,0.007851,50000,20.000000,-175.775115,88.924583,0,-84.699699,0.648702,34.557525,1000000,34.563613,0,20.000000,0.271342,100.000000
69,3.913129,Series RL,0.703797,0.000109853252173,,0,0.007851,50000,20.000000,167.381866,88.831718,0,-101.449882,0.703797,34.511417,1000000,34.518592,0,20.000000,0.270989,100.000000
