index,elapsed_s,model,series_r,series_l,series_c,current_pga,voltage_phase_deg,impedance_imag_ohm,dds_frequency_hz,voltage_pga,captured_cycles,voltage_amplitude_v,sample_rate_hz,shunt_range,impedance_real_ohm,shunt_resistance_ohm,current_phase_deg,current_amplitude_a,samples_per_period,phase_diff_deg,impedance_mag_ohm
33,3.800184,Series RL,0.672108,0.000109649416071,,0,41.813327,34.447380,50000,0,20.000000,0.270558,1000000,0,0.672108,100.000000,132.931091,0.007853,20.000000,88.882232,34.453937
34,3.920528,Series RL,0.400547,0.000108943350631,,0,-109.278762,34.225563,50000,0,20.000000,0.268691,1000000,0,0.400547,100.000000,-18.608249,0.007850,20.000000,89.329490,34.227905
35,4.035344,Series RL,0.358647,0.000108059104866,,0,-168.413604,33.947769,50000,0,20.000000,0.266598,1000000,0,0.358647,100.000000,-77.808319,0.007853,20.000000,89.394706,33.949665
36,4.149213,Series RL,0.694865,0.000109573960713,,0,42.269104,34.423675,50000,0,20.000000,0.270314,1000000,0,0.694865,100.000000,133.425506,0.007851,20.000000,88.843597,34.430686
37,4.261755,Series RL,0.560593,0.000109889800514,,0,-52.106689,34.522899,50000,0,20.000000,0.270976,1000000,0,0.560593,100.000000,38.823619,0.007848,20.000000,89.069694,34.527450
38,4.374018,Series RL,0.366213,0.000108602011025,,0,-20.297534,34.118328,50000,0,20.000000,0.267956,1000000,0,0.366213,100.000000,70.317436,0.007853,20.000000,89.385032,34.120292
39,4.488216,Series RL,0.370989,0.000108245978234,,0,105.097969,34.006477,50000,0,20.000000,0.267061,1000000,0,0.370989,100.000000,-164.277023,0.007853,20.000000,89.374961,34.008499
40,4.605575,Series RL,0.428162,0.00010905196433,,0,-73.211181,34.259685,50000,0,20.000000,0.268974,1000000,0,0.428162,100.000000,17.504837,0.007850,20.000000,89.283981,34.262363
41,4.723174,Series RL,0.455133,0.000109361880385,,0,35.919467,34.357048,50000,0,20.000000,0.269719,1000000,0,0.455133,100.000000,126.678436,0.007850,20.000000,89.241035,34.360061
42,4.839240,Series RL,0.555894,0.000109950562688,,0,-51.887531,34.541988,50000,0,20.000000,0.271093,1000000,0,0.555894,100.000000,39.034473,0.007847,20.000000,89.078002,34.546459
43,4.953877,Series RL,0.399457,0.000109156245832,,0,125.300987,34.292446,50000,0,20.000000,0.269204,1000000,0,0.399457,100.000000,-144.031600,0.007850,20.000000,89.332618,34.294773
44,5.066217,Series RL,0.409180,0.000108120325406,,0,-6.777726,33.967002,50000,0,20.000000,0.266704,1000000,0,0.409180,100.000000,83.912452,0.007851,20.000000,89.309829,33.969467
45,5.180185,Series RL,0.358346,0.000108147913324,,0,-42.360599,33.975669,50000,0,20.000000,0.266783,1000000,0,0.358346,100.000000,48.243686,0.007852,20.000000,89.395706,33.977561
46,5.293872,Series RL,0.365648,0.000108451259463,,0,51.290821,34.070968,50000,0,20.000000,0.267515,1000000,0,0.365648,100.000000,141.905700,0.007851,20.000000,89.385131,34.072929
47,5.410888,Series RL,0.529345,0.000109772977603,,0,55.986816,34.486198,50000,0,20.000000,0.270630,1000000,0,0.529345,100.000000,146.866210,0.007847,20.000000,89.120605,34.490261
48,5.525001,Series RL,0.673932,0.000109815379663,,0,113.053245,34.499519,50000,0,20.000000,0.271037,1000000,0,0.673932,100.000000,-155.827651,0.007855,20.000000,88.880889,34.506099
49,5.640449,Series RL,0.448386,0.000109366941512,,0,71.991462,34.358638,50000,0,20.000000,0.269764,1000000,0,0.448386,100.000000,162.739135,0.007851,20.000000,89.252319,34.361564
50,5.752558,Series RL,0.289419,0.000108065162303,,0,120.227119,33.949672,50000,0,20.000000,0.266453,1000000,0,0.289419,100.000000,-149.284423,0.007848,20.000000,89.511566,33.950904
51,5.863804,Series RL,0.409277,0.000109039518414,,0,-55.204975,34.255775,50000,0,20.000000,0.268896,1000000,0,0.409277,100.000000,35.479545,0.007849,20.000000,89.315483,34.258220
52,5.974830,Series RL,0.351480,0.000107989563705,,0,12.465678,33.925922,50000,0,20.000000,0.266330,1000000,0,0.351480,100.000000,103.059249,0.007850,20.000000,89.406425,33.927742
53,6.086934,Series RL,0.652252,0.000108549079274,,0,-27.021926,34.101699,50000,0,20.000000,0.267828,1000000,0,0.652252,100.000000,64.073814,0.007852,20.000000,88.904258,34.107936
54,6.200460,Series RL,0.342451,0.000108155186705,,0,-4.743871,33.977954,50000,0,20.000000,0.266699,1000000,0,0.342451,100.000000,85.833564,0.007849,20.000000,89.422561,33.979682
55,6.320828,Series RL,0.439562,0.000109417832897,,0,-107.941680,34.374626,50000,0,20.000000,0.269851,1000000,0,0.439562,100.000000,-17.209051,0.007850,20.000000,89.267379,34.377437
56,6.439168,Series RL,0.667350,0.000108795428844,,0,-9.844667,34.179092,50000,0,20.000000,0.268388,1000000,0,0.667350,100.000000,81.273902,0.007851,20.000000,88.881439,34.185604
57,6.557846,Series RL,0.295577,0.000108070178867,,0,66.149192,33.951248,50000,0,20.000000,0.266555,1000000,0,0.295577,100.000000,156.647994,0.007851,20.000000,89.501190,33.952533
