index,elapsed_s,model,series_r,series_l,series_c,voltage_phase_deg,impedance_mag_ohm,current_phase_deg,sample_rate_hz,shunt_resistance_ohm,shunt_range,captured_cycles,voltage_amplitude_v,phase_diff_deg,current_pga,voltage_pga,samples_per_period,impedance_real_ohm,impedance_imag_ohm,current_amplitude_a,dds_frequency_hz
1,0.093482,Series RL,0.363325,0.000109696261737,,22.045593,34.464012,112.649627,1000000,100.000000,0,25.000000,0.522153,89.395957,0,0,20.000000,0.363325,34.462097,0.015151,50000
2,0.145056,Series RL,0.394550,0.000109466900366,,42.087005,34.392303,132.744323,1000000,100.000000,0,25.000000,0.520856,89.342681,0,0,20.000000,0.394550,34.390041,0.015145,50000
3,0.199491,Series RL,0.333117,0.000108699684413,,-117.041885,34.150638,-26.482994,1000000,100.000000,0,25.000000,0.517246,89.441101,0,0,20.000000,0.333117,34.149013,0.015146,50000
4,0.263549,Series RL,0.148458,0.00010812281459,,141.333190,33.968109,-128.416397,1000000,100.000000,0,25.000000,0.514544,89.749580,0,0,20.000000,0.148458,33.967784,0.015148,50000
5,0.323303,Series RL,0.387172,0.000109744138727,,166.116256,34.479312,-103.240325,1000000,100.000000,0,25.000000,0.522367,89.356597,0,0,20.000000,0.387172,34.477138,0.015150,50000
6,0.380374,Series RL,0.249441,0.000107817526761,,-42.647567,33.872795,47.774372,1000000,100.000000,0,25.000000,0.513094,89.578063,0,0,20.000000,0.249441,33.871875,0.015148,50000
7,0.437755,Series RL,0.178714,0.000108471258873,,-91.417930,34.077720,-1.117451,1000000,100.000000,0,25.000000,0.516195,89.699516,0,0,20.000000,0.178714,34.077251,0.015148,50000
8,0.494625,Series RL,0.291633,0.000108153875268,,172.081909,33.978794,-97.426307,1000000,100.000000,0,25.000000,0.514620,89.508239,0,0,20.000000,0.291633,33.977542,0.015145,50000
9,0.549669,Series RL,0.316223,0.000108446281096,,27.346258,34.070873,117.878051,1000000,100.000000,0,25.000000,0.516058,89.468208,0,0,20.000000,0.316223,34.069404,0.015147,50000
10,0.610732,Series RL,0.338806,0.000109550453528,,2.736110,34.417957,93.300132,1000000,100.000000,0,25.000000,0.521346,89.435974,0,0,20.000000,0.338806,34.416290,0.015147,50000
11,0.666146,Series RL,0.205375,0.000108771848447,,53.483173,34.172302,143.827529,1000000,100.000000,0,25.000000,0.517729,89.655647,0,0,20.000000,0.205375,34.171684,0.015151,50000
12,0.725179,Series RL,0.377990,0.000109338748805,,-82.871192,34.351860,7.759278,1000000,100.000000,0,25.000000,0.520315,89.369529,0,0,20.000000,0.377990,34.349781,0.015147,50000
13,0.781985,Series RL,0.350759,0.000109519988088,,38.046901,34.408508,128.630981,1000000,100.000000,0,25.000000,0.521238,89.415916,0,0,20.000000,0.350759,34.406719,0.015149,50000
14,0.839291,Series RL,0.253116,0.000108847434313,,-126.437759,34.196369,-36.013652,1000000,100.000000,0,25.000000,0.518068,89.575904,0,0,20.000000,0.253116,34.195430,0.015150,50000
15,0.897416,Series RL,0.117619,0.000108019736299,,-92.436058,33.935604,-2.237476,1000000,100.000000,0,25.000000,0.514082,89.801414,0,0,20.000000,0.117619,33.935401,0.015149,50000
16,0.956311,Series RL,0.107816,0.000107816349014,,-75.525695,33.871677,14.656686,1000000,100.000000,0,25.000000,0.513045,89.817619,0,0,20.000000,0.107816,33.871505,0.015147,50000
17,1.015464,Series RL,0.373893,0.000109399364557,,115.043991,34.370857,-154.332717,1000000,100.000000,0,25.000000,0.520678,89.376708,0,0,20.000000,0.373893,34.368824,0.015149,50000
18,1.073383,Series RL,0.238321,0.000108501759326,,34.992954,34.087665,125.393539,1000000,100.000000,0,25.000000,0.516483,89.599411,0,0,20.000000,0.238321,34.086833,0.015152,50000
19,1.131475,Series RL,0.260358,0.000109003648073,,-89.957656,34.245494,0.477946,1000000,100.000000,0,25.000000,0.518763,89.564392,0,0,20.000000,0.260358,34.244506,0.015148,50000
20,1.187803,Series RL,0.343838,0.000109777663124,,-86.173614,34.489383,4.397594,1000000,100.000000,0,25.000000,0.522385,89.428787,0,0,20.000000,0.343838,34.487670,0.015146,50000
21,1.244902,Series RL,0.384104,0.000109457815802,,78.659149,34.389331,169.299118,1000000,100.000000,0,25.000000,0.520845,89.360031,0,0,20.000000,0.384104,34.387187,0.015146,50000
22,1.310070,Series RL,0.381103,0.000109714087091,,-30.287025,34.469802,60.346458,1000000,100.000000,0,25.000000,0.522079,89.366516,0,0,20.000000,0.381103,34.467697,0.015146,50000
23,1.369769,Series RL,0.279842,0.000108933136067,,-36.238636,34.223499,54.229877,1000000,100.000000,0,25.000000,0.518444,89.531494,0,0,20.000000,0.279842,34.222354,0.015149,50000
24,1.428809,Series RL,0.232891,0.000108554337753,,-109.069343,34.104145,-18.678079,1000000,100.000000,0,25.000000,0.516705,89.608726,0,0,20.000000,0.232891,34.103351,0.015151,50000
25,1.485663,Series RL,0.270030,0.000108015693764,,100.630050,33.935203,-168.914016,1000000,100.000000,0,25.000000,0.513981,89.544082,0,0,20.000000,0.270030,33.934131,0.015146,50000
26,1.544393,Series RL,0.387268,0.000109617540519,,-66.240104,34.439544,24.404193,1000000,100.000000,0,25.000000,0.521561,89.355705,0,0,20.000000,0.387268,34.437366,0.015144,50000
27,1.600717,Series RL,0.306359,0.000108158710395,,136.045043,33.980442,-133.438400,1000000,100.000000,0,25.000000,0.514611,89.483428,0,0,20.000000,0.306359,33.979061,0.015144,50000
28,1.657626,Series RL,0.334046,0.000109414770756,,96.907661,34.375286,-172.535537,1000000,100.000000,0,25.000000,0.520596,89.443206,0,0,20.000000,0.334046,34.373664,0.015144,50000
29,1.715870,Series RL,0.296166,0.000109566856036,,164.238739,34.422718,-105.268264,1000000,100.000000,0,25.000000,0.521440,89.507034,0,0,20.000000,0.296166,34.421443,0.015148,50000
30,1.775204,Series RL,0.408270,0.000109687470018,,166.757888,34.461753,-102.563285,1000000,100.000000,0,25.000000,0.522032,89.321189,0,0,20.000000,0.408270,34.459335,0.015148,50000
31,1.840008,Series RL,0.349427,0.000108825518677,,-9.649630,34.190330,80.935951,1000000,100.000000,0,25.000000,0.517750,89.414421,0,0,20.000000,0.349427,34.188545,0.015143,50000
32,1.898649,Series RL,0.347105,0.000109477694254,,42.594535,34.395183,133.172760,1000000,100.000000,0,25.000000,0.521009,89.421783,0,0,20.000000,0.347105,34.393432,0.015148,50000
33,1.957289,Series RL,0.364835,0.000109474998169,,168.834274,34.394519,-100.557945,1000000,100.000000,0,25.000000,0.520971,89.392234,0,0,20.000000,0.364835,34.392585,0.015147,50000
34,2.014221,Series RL,0.113524,0.000108057026302,,69.493034,33.947307,159.684646,1000000,100.000000,0,25.000000,0.514199,89.808387,0,0,20.000000,0.113524,33.947116,0.015147,50000
35,2.070766,Series RL,0.133786,0.000107916015023,,158.678741,33.903079,-111.095161,1000000,100.000000,0,25.000000,0.513537,89.773895,0,0,20.000000,0.133786,33.902816,0.015147,50000
