index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
31,2.508242,Series RC,1.321376,,4.51580559455e-07,-352.439758,-89.785186,77.353691,25000,0.002225,25.000000,0,352.442230,0.784343,100.000000,167.568511,1,1000,0,1.321376,20.000000
32,2.580884,Series RC,1.398586,,4.51747705195e-07,-352.309356,-89.772544,119.185920,25000,0.002226,25.000000,0,352.312133,0.784355,100.000000,-150.586624,1,1000,0,1.398586,20.000000
33,2.671650,Series RC,1.567252,,4.51917950468e-07,-352.176635,-89.745025,-18.254182,25000,0.002226,25.000000,0,352.180114,0.784063,100.000000,72.000801,1,1000,0,1.567252,20.000000
34,2.744901,Series RC,2.051855,,4.51819991909e-07,-352.252990,-89.666252,-88.314224,25000,0.002226,25.000000,0,352.258972,0.784106,100.000000,2.019526,1,1000,0,2.051855,20.000000
35,2.832269,Series RC,1.046870,,4.5204420008e-07,-352.078277,-89.829635,-6.995102,25000,0.002227,25.000000,0,352.079833,0.784232,100.000000,83.175262,1,1000,0,1.046870,20.000000
36,2.904978,Series RC,1.147547,,4.5170223872e-07,-352.344818,-89.813392,120.934196,25000,0.002226,25.000000,0,352.346679,0.784364,100.000000,-148.879211,1,1000,0,1.147547,20.000000
37,2.995866,Series RC,1.223803,,4.51679314071e-07,-352.362701,-89.800994,17.952976,25000,0.002226,25.000000,0,352.364837,0.784425,100.000000,108.151969,1,1000,0,1.223803,20.000000
38,3.068867,Series RC,1.548471,,4.51566835883e-07,-352.450469,-89.748268,-30.162578,25000,0.002225,25.000000,0,352.453887,0.784168,100.000000,60.089153,1,1000,0,1.548471,20.000000
39,3.159263,Series RC,1.595837,,4.51432019979e-07,-352.555725,-89.740653,-29.808481,25000,0.002224,25.000000,0,352.559326,0.784250,100.000000,60.450862,1,1000,0,1.595837,20.000000
40,3.232016,Series RC,1.072270,,4.51776076698e-07,-352.287231,-89.825607,149.859878,25000,0.002226,25.000000,0,352.288879,0.784313,100.000000,-119.965728,1,1000,0,1.072270,20.000000
41,3.324554,Series RC,2.184384,,4.51785587238e-07,-352.279815,-89.644729,26.301084,25000,0.002226,25.000000,0,352.286590,0.784171,100.000000,116.656356,1,1000,0,2.184384,20.000000
42,3.399136,Series RC,1.458037,,4.51727709435e-07,-352.324951,-89.762893,-128.112930,25000,0.002227,25.000000,0,352.327972,0.784467,100.000000,-37.875808,1,1000,0,1.458037,20.000000
43,3.480272,Series RC,1.557152,,4.51437647652e-07,-352.551330,-89.746932,86.021827,25000,0.002225,25.000000,0,352.554748,0.784453,100.000000,176.274871,1,1000,0,1.557152,20.000000
