index,elapsed_s,model,series_r,series_l,series_c,shunt_range,voltage_pga,impedance_imag_ohm,impedance_real_ohm,phase_diff_deg,shunt_resistance_ohm,current_pga,current_phase_deg,impedance_mag_ohm,samples_per_period,current_amplitude_a,sample_rate_hz,captured_cycles,dds_frequency_hz,voltage_amplitude_v,voltage_phase_deg
1,0.410858,Series RL,0.191815,0.000107869116836,,0,1,40.665699,0.191815,89.729743,100.000000,1,159.627090,40.666149,16.666666,0.007515,1000000,60.000003,60000,0.305586,69.356834
2,0.798367,Series RL,0.206072,0.000107843888125,,0,1,40.656188,0.206072,89.709587,100.000000,1,-156.798904,40.656711,16.666666,0.007516,1000000,60.000003,60000,0.305583,112.910667
3,1.186502,Series RL,0.203424,0.000107868488174,,0,1,40.665462,0.203424,89.713386,100.000000,1,107.624214,40.665969,16.666666,0.007516,1000000,60.000003,60000,0.305651,17.337600
4,1.575178,Series RL,0.208231,0.000107857246529,,0,1,40.661224,0.208231,89.706581,100.000000,1,168.280136,40.661758,16.666666,0.007516,1000000,60.000003,60000,0.305624,77.986732
5,1.962419,Series RL,0.197199,0.000107875965803,,0,1,40.668281,0.197199,89.722175,100.000000,1,-75.540939,40.668762,16.666666,0.007516,1000000,60.000003,60000,0.305661,-165.818771
6,2.350242,Series RL,0.199868,0.000107843535331,,0,1,40.656055,0.199868,89.718330,100.000000,1,-106.230987,40.656547,16.666666,0.007516,1000000,60.000003,60000,0.305574,163.487319
7,2.737829,Series RL,0.202260,0.000107868286577,,0,1,40.665386,0.202260,89.715026,100.000000,1,75.876472,40.665889,16.666666,0.007517,1000000,60.000003,60000,0.305667,-14.408503
8,3.123621,Series RL,0.202240,0.000107872992258,,0,1,40.667160,0.202240,89.715065,100.000000,1,36.335468,40.667663,16.666666,0.007516,1000000,60.000003,60000,0.305654,-53.949466
9,3.511059,Series RL,0.190448,0.000107883170217,,0,1,40.670997,0.190448,89.731704,100.000000,1,156.350830,40.671443,16.666666,0.007516,1000000,60.000003,60000,0.305699,66.082534
10,3.898355,Series RL,0.205858,0.000107893998058,,0,1,40.675079,0.205858,89.710029,100.000000,1,-116.018249,40.675598,16.666666,0.007516,1000000,60.000003,60000,0.305698,153.691787
11,4.285692,Series RL,0.196925,0.000107861708173,,0,1,40.662906,0.196925,89.722526,100.000000,1,-69.076393,40.663383,16.666666,0.007515,1000000,60.000003,60000,0.305596,-159.353866
12,4.673206,Series RL,0.203490,0.000107887865288,,0,1,40.672767,0.203490,89.713348,100.000000,1,-85.851394,40.673274,16.666666,0.007515,1000000,60.000003,60000,0.305667,-176.138046
13,5.059466,Series RL,0.195356,0.000107835967514,,0,1,40.653202,0.195356,89.724662,100.000000,1,-155.548294,40.653671,16.666666,0.007516,1000000,60.000003,60000,0.305556,114.176399
14,5.446686,Series RL,0.215410,0.00010783543965,,0,1,40.653003,0.215410,89.696403,100.000000,1,102.652137,40.653575,16.666666,0.007515,1000000,60.000003,60000,0.305523,12.348547
15,5.834275,Series RL,0.215268,0.000107847137538,,0,1,40.657413,0.215268,89.696640,100.000000,1,-120.602066,40.657985,16.666666,0.007516,1000000,60.000003,60000,0.305588,149.094558
16,6.221665,Series RL,0.197352,0.000107864289136,,0,1,40.663879,0.197352,89.721923,100.000000,1,-3.421547,40.664360,16.666666,0.007516,1000000,60.000003,60000,0.305634,-93.699623
17,6.608913,Series RL,0.201361,0.000107853867139,,0,1,40.659950,0.201361,89.716255,100.000000,1,51.438091,40.660449,16.666666,0.007514,1000000,60.000003,60000,0.305521,-38.845657
18,6.996100,Series RL,0.201064,0.000107856010426,,0,1,40.660758,0.201064,89.716682,100.000000,1,6.936985,40.661254,16.666666,0.007514,1000000,60.000003,60000,0.305543,-83.346336
19,7.383530,Series RL,0.206064,0.000107879942024,,0,1,40.669780,0.206064,89.709693,100.000000,1,-14.845037,40.670303,16.666666,0.007515,1000000,60.000003,60000,0.305630,-105.135337
20,7.771032,Series RL,0.192585,0.000107860798337,,0,1,40.662563,0.192585,89.728637,100.000000,1,-35.848964,40.663021,16.666666,0.007515,1000000,60.000003,60000,0.305570,-126.120330
