index,elapsed_s,model,series_r,series_l,series_c,voltage_phase_deg,impedance_mag_ohm,current_phase_deg,sample_rate_hz,shunt_resistance_ohm,shunt_range,captured_cycles,voltage_amplitude_v,phase_diff_deg,current_pga,voltage_pga,samples_per_period,impedance_real_ohm,impedance_imag_ohm,current_amplitude_a,dds_frequency_hz
129,7.501593,Series RL,0.321881,0.000110502820792,,-137.342453,6.950554,-44.688121,250000,100.000000,0,20.000000,0.107855,87.345672,0,1,25.000000,0.321881,6.943097,0.015517,10000
130,7.560016,Series RL,0.282504,0.00011131462241,,-61.597778,6.999807,30.715244,250000,100.000000,0,20.000000,0.108567,87.686981,0,1,25.000000,0.282504,6.994104,0.015510,10000
131,7.618905,Series RL,0.294319,0.000110809862508,,38.359325,6.968608,130.779937,250000,100.000000,0,20.000000,0.108107,87.579383,0,1,25.000000,0.294319,6.962389,0.015513,10000
132,7.673758,Series RL,0.296492,0.00011125135832,,-17.473381,6.996414,74.955413,250000,100.000000,0,20.000000,0.108534,87.571205,0,1,25.000000,0.296492,6.990129,0.015513,10000
133,7.730759,Series RL,0.273476,0.000110885413359,,169.175949,6.972501,-98.576202,250000,100.000000,0,20.000000,0.108186,87.752159,0,1,25.000000,0.273476,6.967136,0.015516,10000
134,7.787743,Series RL,0.265148,0.000110692485737,,153.997192,6.960067,-113.819549,250000,100.000000,0,20.000000,0.107984,87.816749,0,1,25.000000,0.265148,6.955014,0.015515,10000
135,7.842758,Series RL,0.299836,0.000110467647549,,99.930168,6.947360,-167.596267,250000,100.000000,0,20.000000,0.107785,87.526443,0,1,25.000000,0.299836,6.940887,0.015515,10000
136,7.900391,Series RL,0.288031,0.000110836998426,,-159.732376,6.970047,-67.363990,250000,100.000000,0,20.000000,0.108145,87.631629,0,1,25.000000,0.288031,6.964094,0.015516,10000
137,7.958725,Series RL,0.320966,0.000111344463962,,-39.007099,7.003338,53.619716,250000,100.000000,0,20.000000,0.108635,87.373184,0,1,25.000000,0.320966,6.995979,0.015512,10000
138,8.018448,Series RL,0.316342,0.000110497345862,,44.308025,6.949956,136.916870,250000,100.000000,0,20.000000,0.107797,87.391159,0,1,25.000000,0.316342,6.942753,0.015510,10000
139,8.075445,Series RL,0.291847,0.0001110029652,,127.091674,6.980626,-140.512161,250000,100.000000,0,20.000000,0.108297,87.603866,0,1,25.000000,0.291847,6.974522,0.015514,10000
140,8.132333,Series RL,0.329442,0.000110991744777,,105.122955,6.981594,-162.172439,250000,100.000000,0,20.000000,0.108296,87.295356,0,1,25.000000,0.329442,6.973817,0.015512,10000
141,8.188151,Series RL,0.301523,0.000110475589381,,109.530418,6.947932,-157.982330,250000,100.000000,0,20.000000,0.107772,87.512725,0,1,25.000000,0.301523,6.941386,0.015511,10000
142,8.245999,Series RL,0.299262,0.000110424468813,,144.029937,6.944625,-123.500236,250000,100.000000,0,20.000000,0.107747,87.530212,0,1,25.000000,0.299262,6.938174,0.015515,10000
143,8.300553,Series RL,0.297732,0.000111102850843,,-44.774723,6.987144,47.667472,250000,100.000000,0,20.000000,0.108391,87.557800,0,1,25.000000,0.297732,6.980798,0.015513,10000
144,8.359538,Series RL,0.301827,0.000110946847167,,-169.876007,6.977528,-77.396789,250000,100.000000,0,20.000000,0.108276,87.520782,0,1,25.000000,0.301827,6.970996,0.015518,10000
145,8.416780,Series RL,0.315135,0.000110858723075,,-138.296493,6.972584,-45.706054,250000,100.000000,0,20.000000,0.108186,87.409568,0,1,25.000000,0.315135,6.965459,0.015516,10000
146,8.474052,Series RL,0.308821,0.000111207431556,,-125.709030,6.994190,-33.178371,250000,100.000000,0,20.000000,0.108510,87.469337,0,1,25.000000,0.308821,6.987369,0.015514,10000
147,8.534658,Series RL,0.294287,0.000110958163084,,175.730834,6.977916,-91.852058,250000,100.000000,0,20.000000,0.108270,87.582885,0,1,25.000000,0.294287,6.971707,0.015516,10000
148,8.593215,Series RL,0.319166,0.000110983898438,,-152.951171,6.980624,-60.330600,250000,100.000000,0,20.000000,0.108303,87.379425,0,1,25.000000,0.319166,6.973324,0.015515,10000
149,8.652898,Series RL,0.314839,0.00011088590674,,16.706960,6.974277,109.294334,250000,100.000000,0,20.000000,0.108162,87.412628,0,1,25.000000,0.314839,6.967167,0.015509,10000
150,8.707512,Series RL,0.320814,0.000110678209539,,-64.815719,6.961513,27.825634,250000,100.000000,0,20.000000,0.108012,87.358642,0,1,25.000000,0.320814,6.954117,0.015516,10000
151,8.765357,Series RL,0.326347,0.000110968762803,,47.902812,6.980007,140.582626,250000,100.000000,0,20.000000,0.108277,87.320182,0,1,25.000000,0.326347,6.972373,0.015512,10000
152,8.822197,Series RL,0.318326,0.000110550981077,,-166.877365,6.953413,-74.253463,250000,100.000000,0,20.000000,0.107900,87.376091,0,1,25.000000,0.318326,6.946123,0.015518,10000
153,8.878643,Series RL,0.288985,0.000111368735091,,-17.986160,7.003468,74.378715,250000,100.000000,0,20.000000,0.108638,87.635124,0,1,25.000000,0.288985,6.997504,0.015512,10000
154,8.935707,Series RL,0.274401,0.000111022955061,,154.612136,6.981173,-113.135208,250000,100.000000,0,20.000000,0.108315,87.747352,0,1,25.000000,0.274401,6.975778,0.015515,10000
155,8.994208,Series RL,0.322256,0.000110495260932,,8.541640,6.950097,101.199226,250000,100.000000,0,20.000000,0.107781,87.342414,0,1,25.000000,0.322256,6.942622,0.015508,10000
156,9.053052,Series RL,0.307631,0.000110704947569,,13.931306,6.962596,106.463645,250000,100.000000,0,20.000000,0.108000,87.467651,0,1,25.000000,0.307631,6.955797,0.015511,10000
157,9.109424,Series RL,0.301392,0.000110537086851,,159.719787,6.951787,-107.795402,250000,100.000000,0,20.000000,0.107870,87.515182,0,1,25.000000,0.301392,6.945250,0.015517,10000
158,9.170399,Series RL,0.288392,0.000110931440969,,83.181953,6.975992,175.551284,250000,100.000000,0,20.000000,0.108234,87.630676,0,1,25.000000,0.288392,6.970028,0.015515,10000
159,9.227743,Series RL,0.307671,0.00011095626914,,-12.567152,6.978374,79.959800,250000,100.000000,0,20.000000,0.108253,87.473045,0,1,25.000000,0.307671,6.971588,0.015513,10000
160,9.285673,Series RL,0.321936,0.000110251706122,,136.198257,6.934795,-131.140914,250000,100.000000,0,20.000000,0.107610,87.339187,0,1,25.000000,0.321936,6.927319,0.015517,10000
161,9.343136,Series RL,0.304248,0.000111310022832,,-111.692443,7.000430,-19.201509,250000,100.000000,0,20.000000,0.108628,87.509063,0,1,25.000000,0.304248,6.993815,0.015517,10000
162,9.399467,Series RL,0.311884,0.000110633757563,,117.316741,6.958317,-150.114273,250000,100.000000,0,20.000000,0.107966,87.431030,0,1,25.000000,0.311884,6.951324,0.015516,10000
163,9.458757,Series RL,0.295707,0.000110404208389,,173.383789,6.943201,-94.175239,250000,100.000000,0,20.000000,0.107744,87.559066,0,1,25.000000,0.295707,6.936901,0.015518,10000
164,9.515063,Series RL,0.307160,0.000110950046182,,147.529327,6.977961,-119.947738,250000,100.000000,0,20.000000,0.108277,87.477096,0,1,25.000000,0.307160,6.971197,0.015517,10000
165,9.571989,Series RL,0.285880,0.000110634426014,,-158.958602,6.957242,-66.603599,250000,100.000000,0,20.000000,0.107970,87.644996,0,1,25.000000,0.285880,6.951366,0.015519,10000
166,9.629864,Series RL,0.323112,0.000111007994497,,-52.113315,6.982318,40.539039,250000,100.000000,0,20.000000,0.108320,87.347648,0,1,25.000000,0.323112,6.974838,0.015513,10000
167,9.688234,Series RL,0.278445,0.000111003442665,,-131.140090,6.980107,-38.853885,250000,100.000000,0,20.000000,0.108337,87.713790,0,1,25.000000,0.278445,6.974552,0.015521,10000
168,9.745411,Series RL,0.306317,0.000110429959659,,95.051666,6.945277,-172.420501,250000,100.000000,0,20.000000,0.107743,87.472183,0,1,25.000000,0.306317,6.938519,0.015513,10000
169,9.802281,Series RL,0.282150,0.000111334851003,,26.028097,7.001062,118.337806,250000,100.000000,0,20.000000,0.108602,87.690299,0,1,25.000000,0.282150,6.995375,0.015512,10000
170,9.857300,Series RL,0.296887,0.000110647492635,,-71.129417,6.958523,21.315862,250000,100.000000,0,20.000000,0.107937,87.554725,0,1,25.000000,0.296887,6.952187,0.015512,10000
171,9.913528,Series RL,0.300273,0.000110942454491,,-29.701967,6.977184,62.764602,250000,100.000000,0,20.000000,0.108231,87.533439,0,1,25.000000,0.300273,6.970720,0.015512,10000
172,9.970980,Series RL,0.285550,0.0001105855177,,-143.061798,6.954158,-50.708465,250000,100.000000,0,20.000000,0.107894,87.646675,0,1,25.000000,0.285550,6.948293,0.015515,10000
173,10.029832,Series RL,0.300643,0.000110918644911,,-113.916374,6.975706,-21.446231,250000,100.000000,0,20.000000,0.108229,87.529861,0,1,25.000000,0.300643,6.969224,0.015515,10000
174,10.087140,Series RL,0.324442,0.000111048467599,,90.444190,6.984920,-176.893524,250000,100.000000,0,20.000000,0.108359,87.337707,0,1,25.000000,0.324442,6.977381,0.015513,10000
175,10.146059,Series RL,0.308330,0.000110604759533,,101.475967,6.956338,-165.983642,250000,100.000000,0,20.000000,0.107914,87.459609,0,1,25.000000,0.308330,6.949502,0.015513,10000
176,10.203300,Series RL,0.295625,0.000110644214043,,-171.900939,6.958263,-79.465957,250000,100.000000,0,20.000000,0.107966,87.565025,0,1,25.000000,0.295625,6.951981,0.015516,10000
177,10.259352,Series RL,0.314721,0.000110972391536,,2.249715,6.979700,94.834106,250000,100.000000,0,20.000000,0.108266,87.415603,0,1,25.000000,0.314721,6.972601,0.015512,10000
178,10.316316,Series RL,0.284207,0.000110858102371,,139.475463,6.971215,-128.188034,250000,100.000000,0,20.000000,0.108151,87.663482,0,1,25.000000,0.284207,6.965420,0.015514,10000
179,10.372488,Series RL,0.304417,0.000110543994175,,29.901969,6.952352,122.411537,250000,100.000000,0,20.000000,0.107848,87.490432,0,1,25.000000,0.304417,6.945684,0.015512,10000
180,10.428962,Series RL,0.288714,0.000110700507146,,-63.240806,6.961508,29.136096,250000,100.000000,0,20.000000,0.108009,87.623092,0,1,25.000000,0.288714,6.955518,0.015515,10000
181,10.487051,Series RL,0.292352,0.000110373395992,,173.454269,6.941124,-94.131805,250000,100.000000,0,20.000000,0.107693,87.586051,0,1,25.000000,0.292352,6.934965,0.015515,10000
182,10.544830,Series RL,0.304363,0.000110765872082,,160.084106,6.966277,-107.411766,250000,100.000000,0,20.000000,0.108069,87.495895,0,1,25.000000,0.304363,6.959625,0.015513,10000
183,10.605863,Series RL,0.283846,0.0001111937124,,98.068496,6.992271,-169.604995,250000,100.000000,0,20.000000,0.108474,87.673477,0,1,25.000000,0.283846,6.986507,0.015513,10000
184,10.663357,Series RL,0.269622,0.000110885158711,,139.751647,6.972335,-128.032135,250000,100.000000,0,20.000000,0.108157,87.783798,0,1,25.000000,0.269622,6.967120,0.015512,10000
185,10.720193,Series RL,0.288068,0.000110764646589,,-129.327606,6.965507,-36.957389,250000,100.000000,0,20.000000,0.108089,87.629783,0,1,25.000000,0.288068,6.959548,0.015518,10000
186,10.778482,Series RL,0.305827,0.00011084906237,,-12.668671,6.971563,79.845573,250000,100.000000,0,20.000000,0.108139,87.485755,0,1,25.000000,0.305827,6.964852,0.015512,10000
187,10.834181,Series RL,0.291913,0.000111105047181,,-112.683738,6.987036,-20.289268,250000,100.000000,0,20.000000,0.108400,87.605529,0,1,25.000000,0.291913,6.980936,0.015514,10000
188,10.891408,Series RL,0.329218,0.000111219734233,,-53.323772,6.995893,39.373497,250000,100.000000,0,20.000000,0.108520,87.302726,0,1,25.000000,0.329218,6.988142,0.015512,10000
189,10.951249,Series RL,0.331759,0.000110763437011,,-8.447439,6.967375,84.281799,250000,100.000000,0,20.000000,0.108085,87.270759,0,1,25.000000,0.331759,6.959472,0.015513,10000
190,11.009768,Series RL,0.304865,0.000110856638146,,147.505691,6.971996,-119.988113,250000,100.000000,0,20.000000,0.108184,87.493812,0,1,25.000000,0.304865,6.965328,0.015517,10000
191,11.066710,Series RL,0.252183,0.000110816753917,,-148.473251,6.967388,-56.398983,250000,100.000000,0,20.000000,0.108103,87.925727,0,1,25.000000,0.252183,6.962822,0.015516,10000
192,11.124717,Series RL,0.312968,0.000111050695768,,16.425794,6.984537,108.994003,250000,100.000000,0,20.000000,0.108337,87.431793,0,1,25.000000,0.312968,6.977521,0.015511,10000
193,11.182084,Series RL,0.333791,0.000110769325744,,33.983543,6.967842,126.729324,250000,100.000000,0,20.000000,0.108098,87.254226,0,1,25.000000,0.333791,6.959842,0.015514,10000
194,11.239150,Series RL,0.297304,0.000110836186735,,-72.233421,6.970386,20.211122,250000,100.000000,0,20.000000,0.108134,87.555450,0,1,25.000000,0.297304,6.964043,0.015513,10000
195,11.295987,Series RL,0.300732,0.000110414282897,,115.299179,6.944049,-152.218673,250000,100.000000,0,20.000000,0.107752,87.517860,0,1,25.000000,0.300732,6.937534,0.015517,10000
196,11.353932,Series RL,0.318396,0.000110476385156,,-64.681739,6.948734,27.944517,250000,100.000000,0,20.000000,0.107814,87.373748,0,1,25.000000,0.318396,6.941436,0.015516,10000
197,11.410495,Series RL,0.306837,0.00011022119612,,108.560455,6.932197,-158.902679,250000,100.000000,0,20.000000,0.107585,87.463111,0,1,25.000000,0.306837,6.925402,0.015520,10000
198,11.469044,Series RL,0.320471,0.000110624192351,,-35.092288,6.958107,57.547531,250000,100.000000,0,20.000000,0.107948,87.360176,0,1,25.000000,0.320471,6.950723,0.015514,10000
199,11.527583,Series RL,0.296972,0.000110657949115,,145.143554,6.959183,-122.410705,250000,100.000000,0,20.000000,0.107989,87.554252,0,1,25.000000,0.296972,6.952844,0.015517,10000
200,11.585121,Series RL,0.292241,0.000111062902952,,-99.421157,6.984405,-7.023085,250000,100.000000,0,20.000000,0.108375,87.601928,0,1,25.000000,0.292241,6.978288,0.015517,10000
201,11.642879,Series RL,0.328927,0.000110706491372,,63.115974,6.963666,155.823333,250000,100.000000,0,20.000000,0.108049,87.292648,0,1,25.000000,0.328927,6.955894,0.015516,10000
202,11.699479,Series RL,0.300962,0.00011067357813,,-78.100685,6.960336,14.377538,250000,100.000000,0,20.000000,0.107990,87.521781,0,1,25.000000,0.300962,6.953826,0.015515,10000
203,11.756840,Series RL,0.309360,0.000111269263251,,-112.076789,6.998095,-19.543125,250000,100.000000,0,20.000000,0.108580,87.466331,0,1,25.000000,0.309360,6.991254,0.015516,10000
204,11.813653,Series RL,0.288518,0.000110579788122,,109.953330,6.953921,-157.668792,250000,100.000000,0,20.000000,0.107897,87.622116,0,1,25.000000,0.288518,6.947933,0.015516,10000
205,11.869578,Series RL,0.287070,0.000110925647729,,175.603027,6.975574,-92.038375,250000,100.000000,0,20.000000,0.108243,87.641410,0,1,25.000000,0.287070,6.969664,0.015517,10000
206,11.927682,Series RL,0.285996,0.00011067551982,,-114.997108,6.959826,-22.642011,250000,100.000000,0,20.000000,0.107977,87.644905,0,1,25.000000,0.285996,6.953948,0.015514,10000
207,11.986721,Series RL,0.273078,0.000111450174675,,-88.947647,7.007944,3.285560,250000,100.000000,0,20.000000,0.108746,87.766792,0,1,25.000000,0.273078,7.002621,0.015517,10000
208,12.042737,Series RL,0.330503,0.000110795204338,,19.834821,6.969309,112.552963,250000,100.000000,0,20.000000,0.108113,87.281852,0,1,25.000000,0.330503,6.961468,0.015513,10000
209,12.104685,Series RL,0.304868,0.000110621884605,,74.052917,6.957261,166.564422,250000,100.000000,0,20.000000,0.107939,87.488479,0,1,25.000000,0.304868,6.950578,0.015515,10000
210,12.162163,Series RL,0.300502,0.000111401075375,,-67.705184,7.005983,24.753116,250000,100.000000,0,20.000000,0.108705,87.541694,0,1,25.000000,0.300502,6.999536,0.015516,10000
211,12.219023,Series RL,0.272186,0.000111025119568,,-174.397186,6.981222,-82.162742,250000,100.000000,0,20.000000,0.108347,87.765563,0,1,25.000000,0.272186,6.975914,0.015520,10000
