index,elapsed_s,model,series_r,series_l,series_c,shunt_range,voltage_pga,impedance_imag_ohm,impedance_real_ohm,phase_diff_deg,shunt_resistance_ohm,current_pga,current_phase_deg,impedance_mag_ohm,samples_per_period,current_amplitude_a,sample_rate_hz,captured_cycles,dds_frequency_hz,voltage_amplitude_v,voltage_phase_deg
171,9.002932,Series RL,0.209485,0.000107844153383,,0,1,40.656288,0.209485,89.704780,100.000000,1,172.944839,40.656826,16.666666,0.007517,1000000,24.000000,60000,0.305604,82.649635
172,9.055646,Series RL,0.199501,0.000107841532631,,0,1,40.655300,0.199501,89.718849,100.000000,1,176.226486,40.655788,16.666666,0.007517,1000000,24.000000,60000,0.305621,85.945327
173,9.108637,Series RL,0.196405,0.000107879406203,,0,1,40.669578,0.196405,89.723304,100.000000,1,-35.328014,40.670051,16.666666,0.007515,1000000,24.000000,60000,0.305636,-125.604721
174,9.163024,Series RL,0.194304,0.000107862344793,,0,1,40.663146,0.194304,89.726219,100.000000,1,-6.054321,40.663612,16.666666,0.007515,1000000,24.000000,60000,0.305605,-96.328102
175,9.217377,Series RL,0.202656,0.000107882997799,,0,1,40.670932,0.202656,89.714508,100.000000,1,-110.693405,40.671436,16.666666,0.007517,1000000,24.000000,60000,0.305722,159.021118
176,9.271677,Series RL,0.205245,0.000107852044815,,0,1,40.659263,0.205245,89.710777,100.000000,1,136.335998,40.659782,16.666666,0.007517,1000000,24.000000,60000,0.305658,46.046775
177,9.325425,Series RL,0.210407,0.000107904298036,,0,1,40.678962,0.210407,89.703643,100.000000,1,-74.995437,40.679508,16.666666,0.007518,1000000,24.000000,60000,0.305821,-165.291793
178,9.377069,Series RL,0.199305,0.000107903327191,,0,1,40.678596,0.199305,89.719284,100.000000,1,-71.966102,40.679084,16.666666,0.007516,1000000,24.000000,60000,0.305754,-162.246826
179,9.428518,Series RL,0.224210,0.000107863055685,,0,1,40.663414,0.224210,89.684082,100.000000,1,-40.830284,40.664031,16.666666,0.007516,1000000,24.000000,60000,0.305629,-131.146194
180,9.479210,Series RL,0.214572,0.000107857922938,,0,1,40.661479,0.214572,89.697647,100.000000,1,24.165790,40.662044,16.666666,0.007516,1000000,24.000000,60000,0.305606,-66.136558
181,9.531116,Series RL,0.193931,0.000107884011086,,0,1,40.671314,0.193931,89.726799,100.000000,1,-35.824958,40.671775,16.666666,0.007517,1000000,24.000000,60000,0.305710,-126.098152
182,9.583055,Series RL,0.201125,0.000107831402419,,0,1,40.651481,0.201125,89.716522,100.000000,1,-101.059974,40.651977,16.666666,0.007516,1000000,24.000000,60000,0.305541,168.656539
183,9.661038,Series RL,0.191756,0.00010784970789,,0,1,40.658382,0.191756,89.729774,100.000000,1,10.065702,40.658832,16.666666,0.007516,1000000,24.000000,60000,0.305577,-80.204521
184,9.716345,Series RL,0.224126,0.000107836521903,,0,1,40.653411,0.224126,89.684127,100.000000,1,81.816070,40.654029,16.666666,0.007517,1000000,24.000000,60000,0.305580,-8.499812
185,9.770068,Series RL,0.193385,0.000107860716107,,0,1,40.662532,0.193385,89.727508,100.000000,1,44.311042,40.662990,16.666666,0.007515,1000000,24.000000,60000,0.305584,-45.961444
186,9.823700,Series RL,0.213184,0.000107881621109,,0,1,40.670413,0.213184,89.699668,100.000000,1,-79.829322,40.670970,16.666666,0.007515,1000000,24.000000,60000,0.305626,-170.129653
187,9.876467,Series RL,0.223130,0.00010786122275,,0,1,40.662723,0.223130,89.685592,100.000000,1,81.745506,40.663333,16.666666,0.007517,1000000,24.000000,60000,0.305656,-8.568900
188,9.928043,Series RL,0.194866,0.000107865068995,,0,1,40.664173,0.194866,89.725433,100.000000,1,-173.083343,40.664638,16.666666,0.007515,1000000,24.000000,60000,0.305587,96.642112
189,9.978623,Series RL,0.197132,0.000107868862188,,0,1,40.665603,0.197132,89.722244,100.000000,1,24.932678,40.666080,16.666666,0.007516,1000000,24.000000,60000,0.305646,-65.345077
190,10.029994,Series RL,0.219654,0.00010785179282,,0,1,40.659168,0.219654,89.690475,100.000000,1,-62.495250,40.659759,16.666666,0.007516,1000000,24.000000,60000,0.305610,-152.804779
191,10.078926,Series RL,0.198292,0.000107845689228,,0,1,40.656867,0.198292,89.720558,100.000000,1,92.578819,40.657352,16.666666,0.007515,1000000,24.000000,60000,0.305543,2.299377
192,10.131462,Series RL,0.213342,0.000107833749955,,0,1,40.652366,0.213342,89.699310,100.000000,1,80.602607,40.652927,16.666666,0.007514,1000000,24.000000,60000,0.305472,-9.698077
193,10.185284,Series RL,0.196662,0.000107860848736,,0,1,40.662582,0.196662,89.722900,100.000000,1,49.294746,40.663059,16.666666,0.007516,1000000,24.000000,60000,0.305621,-40.982368
194,10.237794,Series RL,0.206239,0.000107837110777,,0,1,40.653633,0.206239,89.709335,100.000000,1,59.361610,40.654155,16.666666,0.007514,1000000,24.000000,60000,0.305485,-30.929056
195,10.290155,Series RL,0.193108,0.000107854827374,,0,1,40.660312,0.193108,89.727882,100.000000,1,-69.083106,40.660770,16.666666,0.007517,1000000,24.000000,60000,0.305664,-159.355224
196,10.338455,Series RL,0.207438,0.000107868427164,,0,1,40.665439,0.207438,89.707733,100.000000,1,-50.961395,40.665969,16.666666,0.007516,1000000,24.000000,60000,0.305650,-141.253662
197,10.388207,Series RL,0.182115,0.00010785789376,,0,1,40.661468,0.182115,89.743385,100.000000,1,-4.449076,40.661876,16.666666,0.007517,1000000,24.000000,60000,0.305639,-94.705688
198,10.438746,Series RL,0.203777,0.000107839760706,,0,1,40.654632,0.203777,89.712814,100.000000,1,-129.178085,40.655143,16.666666,0.007516,1000000,24.000000,60000,0.305566,140.534683
199,10.491293,Series RL,0.206234,0.000107892865406,,0,1,40.674652,0.206234,89.709495,100.000000,1,47.472812,40.675174,16.666666,0.007516,1000000,24.000000,60000,0.305715,-42.817691
200,10.546305,Series RL,0.211122,0.000107841227584,,0,1,40.655185,0.211122,89.702461,100.000000,1,-48.691181,40.655735,16.666666,0.007514,1000000,24.000000,60000,0.305477,-138.988708
201,10.598935,Series RL,0.220775,0.000107830967396,,0,1,40.651317,0.220775,89.688827,100.000000,1,52.195304,40.651916,16.666666,0.007515,1000000,24.000000,60000,0.305486,-38.115859
202,10.655391,Series RL,0.198222,0.000107860302304,,0,1,40.662376,0.198222,89.720695,100.000000,1,-26.050338,40.662860,16.666666,0.007517,1000000,24.000000,60000,0.305664,-116.329650
203,10.710987,Series RL,0.192918,0.000107854219933,,0,1,40.660083,0.192918,89.728149,100.000000,1,-20.771181,40.660541,16.666666,0.007515,1000000,24.000000,60000,0.305579,-111.043037
204,10.766389,Series RL,0.183208,0.000107873700498,,0,1,40.667427,0.183208,89.741874,100.000000,1,-74.292732,40.667839,16.666666,0.007516,1000000,24.000000,60000,0.305652,-164.550857
205,10.819666,Series RL,0.196696,0.000107858076788,,0,1,40.661537,0.196696,89.722839,100.000000,1,11.643225,40.662014,16.666666,0.007516,1000000,24.000000,60000,0.305611,-78.633941
206,10.871813,Series RL,0.185826,0.000107873740287,,0,1,40.667442,0.185826,89.738189,100.000000,1,134.091400,40.667865,16.666666,0.007517,1000000,24.000000,60000,0.305695,43.829593
207,10.923057,Series RL,0.204743,0.000107842978289,,0,1,40.655845,0.204743,89.711456,100.000000,1,123.677124,40.656360,16.666666,0.007516,1000000,24.000000,60000,0.305560,33.388584
208,10.976225,Series RL,0.184940,0.000107866201648,,0,1,40.664600,0.184940,89.739418,100.000000,1,-76.248649,40.665019,16.666666,0.007517,1000000,24.000000,60000,0.305676,-166.509231
209,11.028707,Series RL,0.204957,0.000107828145048,,0,1,40.650253,0.204957,89.711112,100.000000,1,143.526367,40.650768,16.666666,0.007518,1000000,24.000000,60000,0.305620,53.237483
210,11.082339,Series RL,0.207707,0.00010786739531,,0,1,40.665050,0.207707,89.707344,100.000000,1,-158.926330,40.665580,16.666666,0.007517,1000000,24.000000,60000,0.305689,110.781036
211,11.136709,Series RL,0.195610,0.000107826049508,,0,1,40.649463,0.195610,89.724288,100.000000,1,-53.748676,40.649932,16.666666,0.007516,1000000,24.000000,60000,0.305541,-144.024383
212,11.193198,Series RL,0.183713,0.0001078911651,,0,1,40.674011,0.183713,89.741210,100.000000,1,11.962578,40.674427,16.666666,0.007518,1000000,24.000000,60000,0.305795,-78.296211
213,11.246540,Series RL,0.195657,0.000107867859512,,0,1,40.665225,0.195657,89.724327,100.000000,1,-23.592708,40.665699,16.666666,0.007515,1000000,24.000000,60000,0.305616,-113.868385
214,11.300590,Series RL,0.192728,0.000107859350027,,0,1,40.662017,0.192728,89.728431,100.000000,1,55.552692,40.662475,16.666666,0.007515,1000000,24.000000,60000,0.305584,-34.718875
215,11.353741,Series RL,0.192090,0.000107857437515,,0,1,40.661296,0.192090,89.729324,100.000000,1,104.946617,40.661750,16.666666,0.007517,1000000,24.000000,60000,0.305637,14.675941
216,11.406711,Series RL,0.202808,0.000107907231792,,0,1,40.680068,0.202808,89.714355,100.000000,1,55.938007,40.680576,16.666666,0.007516,1000000,24.000000,60000,0.305739,-34.347640
217,11.459502,Series RL,0.196075,0.000107847087139,,0,1,40.657394,0.196075,89.723686,100.000000,1,-125.967712,40.657867,16.666666,0.007520,1000000,24.000000,60000,0.305740,143.755935
218,11.512189,Series RL,0.213572,0.000107820181996,,0,1,40.647251,0.213572,89.698951,100.000000,1,81.108871,40.647811,16.666666,0.007517,1000000,24.000000,60000,0.305551,-9.192178
219,11.564642,Series RL,0.199532,0.000107876867681,,0,1,40.668621,0.199532,89.718887,100.000000,1,27.956205,40.669109,16.666666,0.007515,1000000,24.000000,60000,0.305636,-62.324909
220,11.618590,Series RL,0.206511,0.000107834964837,,0,1,40.652824,0.206511,89.708946,100.000000,1,90.361335,40.653347,16.666666,0.007516,1000000,24.000000,60000,0.305556,0.070285
221,11.672788,Series RL,0.200122,0.00010784702613,,0,1,40.657371,0.200122,89.717979,100.000000,1,101.444664,40.657863,16.666666,0.007516,1000000,24.000000,60000,0.305595,11.162645
222,11.725617,Series RL,0.205197,0.000107832171668,,0,1,40.651771,0.205197,89.710792,100.000000,1,-90.679588,40.652290,16.666666,0.007516,1000000,24.000000,60000,0.305553,179.031204
223,11.780526,Series RL,0.201856,0.000107828336034,,0,1,40.650325,0.201856,89.715484,100.000000,1,90.121643,40.650825,16.666666,0.007517,1000000,24.000000,60000,0.305558,-0.162874
224,11.835046,Series RL,0.193697,0.000107850912163,,0,1,40.658836,0.193697,89.727043,100.000000,1,-71.726318,40.659297,16.666666,0.007515,1000000,24.000000,60000,0.305537,-161.999267
225,11.888306,Series RL,0.230245,0.00010776075354,,0,1,40.624847,0.230245,89.675270,100.000000,1,153.440170,40.625499,16.666666,0.007519,1000000,24.000000,60000,0.305476,63.115440
226,11.941359,Series RL,0.199494,0.000107816831784,,0,1,40.645988,0.199494,89.718788,100.000000,1,80.244651,40.646480,16.666666,0.007516,1000000,24.000000,60000,0.305489,-10.036561
227,11.994177,Series RL,0.195132,0.000107845853688,,0,1,40.656929,0.195132,89.725006,100.000000,1,84.220520,40.657398,16.666666,0.007518,1000000,24.000000,60000,0.305667,-6.054472
228,12.046152,Series RL,0.202670,0.000107880114442,,0,1,40.669845,0.202670,89.714477,100.000000,1,71.684852,40.670349,16.666666,0.007517,1000000,24.000000,60000,0.305707,-18.600667
229,12.100450,Series RL,0.196296,0.000107883281626,,0,1,40.671039,0.196296,89.723472,100.000000,1,-108.922012,40.671512,16.666666,0.007516,1000000,24.000000,60000,0.305670,160.801437
230,12.158976,Series RL,0.202311,0.000107859371248,,0,1,40.662025,0.202311,89.714935,100.000000,1,157.291488,40.662528,16.666666,0.007518,1000000,24.000000,60000,0.305687,67.006416
231,12.213747,Series RL,0.189701,0.000107882663574,,0,1,40.670806,0.189701,89.732757,100.000000,1,-89.617897,40.671249,16.666666,0.007520,1000000,24.000000,60000,0.305847,-179.885147
232,12.267884,Series RL,0.203318,0.000107910117802,,0,1,40.681156,0.203318,89.713638,100.000000,1,63.872459,40.681663,16.666666,0.007517,1000000,24.000000,60000,0.305804,-26.413894
233,12.322241,Series RL,0.193220,0.000107876875639,,0,1,40.668624,0.193220,89.727783,100.000000,1,-110.605552,40.669082,16.666666,0.007518,1000000,24.000000,60000,0.305733,159.122238
234,12.375210,Series RL,0.196544,0.000107849079228,,0,1,40.658145,0.196544,89.723030,100.000000,1,-134.168380,40.658618,16.666666,0.007519,1000000,24.000000,60000,0.305732,135.554626
235,12.428388,Series RL,0.183344,0.000107902305946,,0,1,40.678211,0.183344,89.741760,100.000000,1,127.335571,40.678623,16.666666,0.007518,1000000,24.000000,60000,0.305806,37.077323
236,12.481029,Series RL,0.204203,0.000107880469888,,0,1,40.669979,0.204203,89.712318,100.000000,1,-85.478050,40.670494,16.666666,0.007520,1000000,24.000000,60000,0.305839,-175.765731
