index,elapsed_s,model,series_r,series_l,series_c,shunt_range,voltage_pga,impedance_imag_ohm,impedance_real_ohm,phase_diff_deg,shunt_resistance_ohm,current_pga,current_phase_deg,impedance_mag_ohm,samples_per_period,current_amplitude_a,sample_rate_hz,captured_cycles,dds_frequency_hz,voltage_amplitude_v,voltage_phase_deg
1,0.390346,Series RL,0.598305,0.000108521797994,,0,0,40.911754,0.598305,89.162147,100.000000,0,-0.200514,40.916126,16.666666,0.007765,1000000,60.000003,60000,0.317701,-91.038360
2,0.777401,Series RL,0.539678,0.000108561302904,,0,0,40.926647,0.539678,89.244506,100.000000,0,-5.266184,40.930206,16.666666,0.007764,1000000,60.000003,60000,0.317784,-96.021667
3,1.164556,Series RL,0.559295,0.00010854257302,,0,0,40.919586,0.559295,89.216918,100.000000,0,81.587768,40.923408,16.666666,0.007766,1000000,60.000003,60000,0.317824,-9.195309
4,1.551787,Series RL,0.560565,0.000108544777316,,0,0,40.920417,0.560565,89.215156,100.000000,0,-37.128479,40.924255,16.666666,0.007766,1000000,60.000003,60000,0.317797,-127.913322
5,1.938926,Series RL,0.572934,0.000108559692786,,0,0,40.926040,0.572934,89.197952,100.000000,0,19.311769,40.930049,16.666666,0.007764,1000000,60.000003,60000,0.317796,-71.490280
6,2.325712,Series RL,0.618604,0.00010848002778,,0,0,40.896007,0.618604,89.133392,100.000000,0,-179.648193,40.900684,16.666666,0.007764,1000000,60.000003,60000,0.317563,89.485176
7,2.712123,Series RL,0.562398,0.000108511559026,,0,0,40.907894,0.562398,89.212348,100.000000,0,59.663616,40.911758,16.666666,0.007766,1000000,60.000003,60000,0.317728,-31.124038
8,3.099597,Series RL,0.602172,0.000108520583112,,0,0,40.911296,0.602172,89.156723,100.000000,0,-134.846923,40.915729,16.666666,0.007766,1000000,60.000003,60000,0.317764,134.309783
9,3.487167,Series RL,0.590588,0.000108524429356,,0,0,40.912746,0.590588,89.172973,100.000000,0,-51.381755,40.917007,16.666666,0.007765,1000000,60.000003,60000,0.317729,-142.208786
10,3.874273,Series RL,0.573569,0.000108580112365,,0,0,40.933738,0.573569,89.197212,100.000000,0,-98.986618,40.937755,16.666666,0.007769,1000000,60.000003,60000,0.318034,170.210571
11,4.260488,Series RL,0.579522,0.000108523124286,,0,0,40.912254,0.579522,89.188461,100.000000,0,131.002731,40.916358,16.666666,0.007766,1000000,60.000003,60000,0.317769,40.191177
12,4.645961,Series RL,0.578968,0.000108533617901,,0,0,40.916210,0.578968,89.189315,100.000000,0,-12.593064,40.920307,16.666666,0.007765,1000000,60.000003,60000,0.317745,-103.403755
13,5.033411,Series RL,0.574447,0.000108605762837,,0,0,40.943408,0.574447,89.196174,100.000000,0,-154.316741,40.947437,16.666666,0.007766,1000000,60.000003,60000,0.317996,114.879432
14,5.420904,Series RL,0.552117,0.000108578868304,,0,0,40.933269,0.552117,89.227226,100.000000,0,-84.087699,40.936992,16.666666,0.007766,1000000,60.000003,60000,0.317917,-174.860473
15,5.808383,Series RL,0.583485,0.000108606208471,,0,0,40.943576,0.583485,89.183532,100.000000,0,-23.575725,40.947734,16.666666,0.007765,1000000,60.000003,60000,0.317943,-114.392196
16,6.195714,Series RL,0.558955,0.000108577006192,,0,0,40.932567,0.558955,89.217643,100.000000,0,-18.282901,40.936382,16.666666,0.007766,1000000,60.000003,60000,0.317897,-109.065254
17,6.583312,Series RL,0.572469,0.000108593571568,,0,0,40.938812,0.572469,89.198852,100.000000,0,-82.516052,40.942813,16.666666,0.007765,1000000,60.000003,60000,0.317918,-173.317199
18,6.970647,Series RL,0.586927,0.00010858452361,,0,0,40.935401,0.586927,89.178550,100.000000,0,120.573104,40.939609,16.666666,0.007766,1000000,60.000003,60000,0.317921,29.751665
19,7.358208,Series RL,0.568342,0.000108581104431,,0,0,40.934112,0.568342,89.204536,100.000000,0,-126.190223,40.938056,16.666666,0.007767,1000000,60.000003,60000,0.317955,143.014282
20,7.745749,Series RL,0.585977,0.000108531482573,,0,0,40.915405,0.585977,89.179481,100.000000,0,-63.543640,40.919601,16.666666,0.007765,1000000,60.000003,60000,0.317735,-154.364151
21,8.132310,Series RL,0.577912,0.000108530400319,,0,0,40.914997,0.577912,89.190765,100.000000,0,-171.334533,40.919078,16.666666,0.007767,1000000,60.000003,60000,0.317799,97.856254
22,8.519023,Series RL,0.556392,0.000108521503558,,0,0,40.911643,0.556392,89.220832,100.000000,0,169.672943,40.915428,16.666666,0.007766,1000000,60.000003,60000,0.317730,78.893783
23,8.906847,Series RL,0.553988,0.000108603001499,,0,0,40.942367,0.553988,89.224777,100.000000,0,-10.380866,40.946113,16.666666,0.007766,1000000,60.000003,60000,0.317994,-101.156074
24,9.293988,Series RL,0.584187,0.00010857785767,,0,0,40.932888,0.584187,89.182342,100.000000,0,130.853469,40.937057,16.666666,0.007766,1000000,60.000003,60000,0.317903,40.035808
25,9.681464,Series RL,0.560905,0.000108577584454,,0,0,40.932785,0.560905,89.214920,100.000000,0,74.964157,40.936626,16.666666,0.007766,1000000,60.000003,60000,0.317908,-15.820922
26,10.070008,Series RL,0.563645,0.000108574072435,,0,0,40.931461,0.563645,89.211051,100.000000,0,88.195419,40.935340,16.666666,0.007766,1000000,60.000003,60000,0.317885,-2.593517
27,10.457699,Series RL,0.566851,0.000108564743303,,0,0,40.927944,0.566851,89.206497,100.000000,0,-149.601562,40.931869,16.666666,0.007766,1000000,60.000003,60000,0.317861,119.604919
28,10.844594,Series RL,0.590810,0.000108553621025,,0,0,40.923751,0.590810,89.172889,100.000000,0,178.763397,40.928016,16.666666,0.007765,1000000,60.000003,60000,0.317804,87.936286
29,11.231970,Series RL,0.567583,0.000108573950417,,0,0,40.931415,0.567583,89.205543,100.000000,0,177.092407,40.935348,16.666666,0.007765,1000000,60.000003,60000,0.317846,86.297950
30,11.619328,Series RL,0.561029,0.000108574101614,,0,0,40.931472,0.561029,89.214714,100.000000,0,-43.786766,40.935317,16.666666,0.007764,1000000,60.000003,60000,0.317825,-134.572052
31,12.006949,Series RL,0.580600,0.000108539596822,,0,0,40.918464,0.580600,89.187072,100.000000,0,-7.917323,40.922584,16.666666,0.007764,1000000,60.000003,60000,0.317738,-98.730255
32,12.395045,Series RL,0.592757,0.000108572512717,,0,0,40.930873,0.592757,89.170303,100.000000,0,-71.954719,40.935165,16.666666,0.007765,1000000,60.000003,60000,0.317861,-162.784423
33,12.782483,Series RL,0.567290,0.000108559066777,,0,0,40.925804,0.567290,89.205848,100.000000,0,-152.422454,40.929733,16.666666,0.007764,1000000,60.000003,60000,0.317784,116.783393
34,13.169251,Series RL,0.614104,0.000108525885624,,0,0,40.913295,0.614104,89.140052,100.000000,0,114.938705,40.917903,16.666666,0.007764,1000000,60.000003,60000,0.317666,24.078763
35,13.556986,Series RL,0.612016,0.000108537169709,,0,0,40.917549,0.612016,89.143074,100.000000,0,79.436225,40.922126,16.666666,0.007766,1000000,60.000003,60000,0.317794,-11.420708
36,13.944462,Series RL,0.563658,0.000108534426939,,0,0,40.916515,0.563658,89.210754,100.000000,0,-34.275669,40.920398,16.666666,0.007766,1000000,60.000003,60000,0.317778,-125.064910
37,14.330652,Series RL,0.599897,0.000108506224683,,0,0,40.905883,0.599897,89.159790,100.000000,0,66.081314,40.910282,16.666666,0.007767,1000000,60.000003,60000,0.317746,-24.758884
38,14.718211,Series RL,0.552018,0.000108523843135,,0,0,40.912525,0.552018,89.226974,100.000000,0,-10.731479,40.916248,16.666666,0.007765,1000000,60.000003,60000,0.317698,-101.504501
39,15.104733,Series RL,0.588712,0.000108564427646,,0,0,40.927825,0.588712,89.175895,100.000000,0,80.835624,40.932060,16.666666,0.007765,1000000,60.000003,60000,0.317839,-9.988471
40,15.492745,Series RL,0.592978,0.000108606715114,,0,0,40.943767,0.592978,89.170257,100.000000,0,-1.353708,40.948059,16.666666,0.007765,1000000,60.000003,60000,0.317972,-92.183456
41,15.880126,Series RL,0.566487,0.000108567799078,,0,0,40.929096,0.566487,89.207031,100.000000,0,-16.116155,40.933017,16.666666,0.007766,1000000,60.000003,60000,0.317871,-106.909126
42,16.266112,Series RL,0.583316,0.000108562981988,,0,0,40.927280,0.583316,89.183448,100.000000,0,63.647811,40.931434,16.666666,0.007764,1000000,60.000003,60000,0.317812,-27.168741
43,16.651941,Series RL,0.589823,0.000108539031822,,0,0,40.918251,0.589823,89.174148,100.000000,0,-139.157638,40.922500,16.666666,0.007765,1000000,60.000003,60000,0.317766,130.016494
44,17.039454,Series RL,0.551265,0.000108516689121,,0,0,40.909828,0.551265,89.227973,100.000000,0,-124.618568,40.913539,16.666666,0.007765,1000000,60.000003,60000,0.317678,144.609390
45,17.426876,Series RL,0.588803,0.000108528121751,,0,0,40.914138,0.588803,89.175498,100.000000,0,44.741092,40.918376,16.666666,0.007765,1000000,60.000003,60000,0.317751,-46.083408
46,17.814142,Series RL,0.594062,0.000108550504241,,0,0,40.922576,0.594062,89.168312,100.000000,0,-167.413116,40.926887,16.666666,0.007766,1000000,60.000003,60000,0.317852,101.755165
