index,elapsed_s,model,series_r,series_l,series_c,current_phase_deg,voltage_phase_deg,samples_per_period,current_amplitude_a,shunt_resistance_ohm,current_pga,phase_diff_deg,dds_frequency_hz,shunt_range,voltage_pga,impedance_mag_ohm,impedance_imag_ohm,captured_cycles,voltage_amplitude_v,impedance_real_ohm,sample_rate_hz
398,22.001787,Series RL,0.659367,0.000108480426197,,-151.916748,116.974830,20.000000,0.007855,100.000000,0,88.891609,50000,0,0,34.086509,34.080131,20.000000,0.267746,0.659367,1000000
399,22.057497,Series RL,0.409558,0.000108712919738,,34.895614,-55.791435,20.000000,0.007850,100.000000,0,89.312957,50000,0,0,34.155628,34.153171,20.000000,0.268136,0.409558,1000000
400,22.112466,Series RL,0.721341,0.000109635862436,,61.245048,-29.954727,20.000000,0.007853,100.000000,0,88.800224,50000,0,0,34.450675,34.443122,20.000000,0.270540,0.721341,1000000
401,22.166234,Series RL,0.370801,0.000108580541023,,-37.520782,-128.143585,20.000000,0.007853,100.000000,0,89.377204,50000,0,0,34.113597,34.111583,20.000000,0.267900,0.370801,1000000
402,22.219498,Series RL,0.681050,0.000109836712791,,78.150009,-12.980694,20.000000,0.007850,100.000000,0,88.869293,50000,0,0,34.512943,34.506221,20.000000,0.270927,0.681050,1000000
403,22.273857,Series RL,0.457749,0.000109574349051,,109.219535,18.457687,20.000000,0.007851,100.000000,0,89.238159,50000,0,0,34.426841,34.423797,20.000000,0.270302,0.457749,1000000
404,22.327808,Series RL,0.536826,0.000109843779271,,-68.849525,-159.740768,20.000000,0.007848,100.000000,0,89.108757,50000,0,0,34.512615,34.508441,20.000000,0.270862,0.536826,1000000
405,22.383590,Series RL,0.462900,0.00010969581292,,-106.344993,162.885421,20.000000,0.007849,100.000000,0,89.230430,50000,0,0,34.465065,34.461956,20.000000,0.270505,0.462900,1000000
406,22.437618,Series RL,0.462085,0.00010943172394,,36.834541,-53.935520,20.000000,0.007850,100.000000,0,89.229942,50000,0,0,34.382095,34.378990,20.000000,0.269899,0.462085,1000000
407,22.491417,Series RL,0.319911,0.000108083875741,,-112.819862,156.640335,20.000000,0.007854,100.000000,0,89.460197,50000,0,0,33.957057,33.955551,20.000000,0.266710,0.319911,1000000
408,22.577038,Series RL,0.353073,0.000108020331539,,84.731605,-5.864498,20.000000,0.007849,100.000000,0,89.403900,50000,0,0,33.937423,33.935588,20.000000,0.266385,0.353073,1000000
409,22.648880,Series RL,0.702909,0.000109376910978,,-136.164260,132.663833,20.000000,0.007851,100.000000,0,88.828109,50000,0,0,34.368961,34.361770,20.000000,0.269845,0.702909,1000000
410,22.703819,Series RL,0.511103,0.000109762960391,,55.979637,-34.869537,20.000000,0.007848,100.000000,0,89.150825,50000,0,0,34.486839,34.483051,20.000000,0.270660,0.511103,1000000
411,22.756580,Series RL,0.684987,0.000109521407751,,115.233306,24.092798,20.000000,0.007851,100.000000,0,88.859481,50000,0,0,34.413982,34.407165,20.000000,0.270190,0.684987,1000000
412,22.811524,Series RL,0.663853,0.000109655849114,,96.948425,5.844448,20.000000,0.007853,100.000000,0,88.896018,50000,0,0,34.455795,34.449401,20.000000,0.270591,0.663853,1000000
413,22.864522,Series RL,0.331247,0.00010799972734,,103.181327,12.621970,20.000000,0.007851,100.000000,0,89.440643,50000,0,0,33.930732,33.929115,20.000000,0.266379,0.331247,1000000
