index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
714,42.736179,Series RL,0.292131,0.000110812265748,,6.962540,87.597412,-89.320892,250000,0.013040,25.000000,1,6.968666,0.090870,100.000000,178.276519,0,10000,0,0.292131,20.000000
715,42.791340,Series RL,0.317202,0.000110990407875,,6.973733,87.395683,54.188419,250000,0.013036,25.000000,1,6.980944,0.091007,100.000000,-38.415897,0,10000,0,0.317202,20.000000
716,42.846145,Series RL,0.256055,0.000110899657727,,6.968031,87.895492,-112.229072,250000,0.013038,25.000000,1,6.972734,0.090910,100.000000,155.666427,0,10000,0,0.256055,20.000000
717,42.900585,Series RL,0.284602,0.000110735043769,,6.957688,87.657630,-148.836120,250000,0.013034,25.000000,1,6.963507,0.090763,100.000000,118.821510,0,10000,0,0.284602,20.000000
718,42.955488,Series RL,0.284886,0.00011055863643,,6.946604,87.651557,28.825740,250000,0.013036,25.000000,1,6.952444,0.090629,100.000000,-63.522693,0,10000,0,0.284886,20.000000
719,43.010116,Series RL,0.281103,0.000110310306972,,6.931001,87.677505,158.828918,250000,0.013039,25.000000,1,6.936699,0.090444,100.000000,66.506416,0,10000,0,0.281103,20.000000
720,43.064841,Series RL,0.303459,0.000110693249681,,6.955062,87.501686,-175.889129,250000,0.013036,25.000000,1,6.961679,0.090750,100.000000,91.612564,0,10000,0,0.303459,20.000000
721,43.119391,Series RL,0.283718,0.000110772222364,,6.960024,87.665687,137.955200,250000,0.013032,25.000000,1,6.965805,0.090779,100.000000,45.620887,0,10000,0,0.283718,20.000000
722,43.198793,Series RL,0.287668,0.000110882405331,,6.966947,87.635574,21.814729,250000,0.013033,25.000000,1,6.972884,0.090876,100.000000,-70.549697,0,10000,0,0.287668,20.000000
723,43.255759,Series RL,0.292151,0.000111101434364,,6.980709,87.603492,-32.712806,250000,0.013037,25.000000,1,6.986820,0.091090,100.000000,-125.109313,0,10000,0,0.292151,20.000000
724,43.323545,Series RL,0.266392,0.000110748540108,,6.958536,87.807624,-121.187309,250000,0.013035,25.000000,1,6.963633,0.090774,100.000000,146.620300,0,10000,0,0.266392,20.000000
725,43.402522,Series RL,0.265671,0.000110694634329,,6.955149,87.812484,-28.048320,250000,0.013037,25.000000,1,6.960221,0.090740,100.000000,-120.235832,0,10000,0,0.265671,20.000000
726,43.457541,Series RL,0.278418,0.000110911546601,,6.968778,87.712127,133.411666,250000,0.013036,25.000000,1,6.974337,0.090916,100.000000,41.123790,0,10000,0,0.278418,20.000000
727,43.512311,Series RL,0.274810,0.000111200556062,,6.986937,87.747604,17.939426,250000,0.013037,25.000000,1,6.992340,0.091163,100.000000,-74.312973,0,10000,0,0.274810,20.000000
728,43.566833,Series RL,0.287582,0.000110674278412,,6.953870,87.631843,-163.435058,250000,0.013035,25.000000,1,6.959814,0.090722,100.000000,104.196784,0,10000,0,0.287582,20.000000
729,43.621203,Series RL,0.283775,0.000110574663333,,6.947611,87.661048,101.620147,250000,0.013033,25.000000,1,6.953403,0.090624,100.000000,9.281200,0,10000,0,0.283775,20.000000
730,43.675757,Series RL,0.278779,0.000110772556589,,6.960045,87.706291,21.556453,250000,0.013032,25.000000,1,6.965626,0.090777,100.000000,-70.737258,0,10000,0,0.278779,20.000000
731,43.754995,Series RL,0.310678,0.000110195985977,,6.923818,87.430809,172.043594,250000,0.013039,25.000000,1,6.930784,0.090372,100.000000,79.474403,0,10000,0,0.310678,20.000000
732,43.817628,Series RL,0.299497,0.000110703594752,,6.955712,87.534500,12.891712,250000,0.013037,25.000000,1,6.962157,0.090769,100.000000,-79.573791,0,10000,0,0.299497,20.000000
