index,elapsed_s,model,series_r,series_l,series_c,current_pga,impedance_mag_ohm,voltage_phase_deg,impedance_real_ohm,sample_rate_hz,voltage_amplitude_v,current_amplitude_a,dds_frequency_hz,current_phase_deg,voltage_pga,shunt_resistance_ohm,samples_per_period,captured_cycles,phase_diff_deg,impedance_imag_ohm,shunt_range
31,2.976611,Series RC,0.529398,,4.51877774432e-07,1,1174.026611,150.648284,0.529398,7500,0.604602,0.000515,300,60.622440,1,1000.000000,25.000000,16.000000,-89.974159,-1174.026489,1
32,3.071968,Series RC,1.942009,,4.51964994393e-07,1,1173.801513,176.736434,1.942009,7500,0.604617,0.000515,300,86.641632,1,1000.000000,25.000000,16.000000,-89.905197,-1173.799926,1
33,3.165868,Series RC,0.386509,,4.52035039033e-07,1,1173.618041,38.463695,0.386509,7500,0.604456,0.000515,300,-51.555175,1,1000.000000,25.000000,16.000000,-89.981124,-1173.618041,1
34,3.261479,Series RC,1.110567,,4.5207458378e-07,1,1173.515869,100.091651,1.110567,7500,0.604520,0.000515,300,10.037431,1,1000.000000,25.000000,16.000000,-89.945777,-1173.515380,1
35,3.359987,Series RC,0.425012,,4.52154070152e-07,1,1173.309204,-15.935407,0.425012,7500,0.604580,0.000515,300,-105.956169,1,1000.000000,25.000000,16.000000,-89.979240,-1173.309082,1
36,3.456357,Series RC,0.580016,,4.51913015538e-07,1,1173.935058,-165.154159,0.580016,7500,0.604557,0.000515,300,104.817543,1,1000.000000,25.000000,16.000000,-89.971694,-1173.934936,1
37,3.551798,Series RC,0.409933,,4.5212354232e-07,1,1173.388305,150.554306,0.409933,7500,0.604417,0.000515,300,60.534275,1,1000.000000,25.000000,16.000000,-89.979980,-1173.388305,1
38,3.645599,Series RC,1.661657,,4.51947651122e-07,1,1173.846191,19.163063,1.661657,7500,0.604596,0.000515,300,-70.918037,1,1000.000000,25.000000,16.000000,-89.918884,-1173.844970,1
39,3.739071,Series RC,0.286835,,4.52131491498e-07,1,1173.367797,67.191528,0.286835,7500,0.604528,0.000515,300,-22.822477,1,1000.000000,25.000000,16.000000,-89.985992,-1173.367675,1
40,3.834641,Series RC,0.532538,,4.52063579922e-07,1,1173.544067,79.221557,0.532538,7500,0.604514,0.000515,300,-10.804431,1,1000.000000,25.000000,16.000000,-89.973999,-1173.543945,1
41,3.928210,Series RC,0.346803,,4.52000343071e-07,1,1173.708129,-28.929525,0.346803,7500,0.604557,0.000515,300,-118.946456,1,1000.000000,25.000000,16.000000,-89.983070,-1173.708129,1
42,4.023802,Series RC,0.341740,,4.52034803698e-07,1,1173.618652,-14.571922,0.341740,7500,0.604474,0.000515,300,-104.588600,1,1000.000000,25.000000,16.000000,-89.983314,-1173.618652,1
43,4.117871,Series RC,1.041132,,4.51973830948e-07,1,1173.777465,-127.728240,1.041132,7500,0.604641,0.000515,300,142.220932,1,1000.000000,25.000000,16.000000,-89.949172,-1173.776977,1
44,4.211499,Series RC,0.296843,,4.52228173253e-07,1,1173.116943,-49.014328,0.296843,7500,0.604501,0.000515,300,-139.028823,1,1000.000000,25.000000,16.000000,-89.985496,-1173.116821,1
45,4.306664,Series RC,0.511083,,4.52231938008e-07,1,1173.107177,-19.256074,0.511083,7500,0.604512,0.000515,300,-109.281028,1,1000.000000,25.000000,16.000000,-89.975036,-1173.107055,1
46,4.399914,Series RC,0.356567,,4.52038235914e-07,1,1173.609863,-179.454925,0.356567,7500,0.604686,0.000515,300,90.527656,1,1000.000000,25.000000,16.000000,-89.982589,-1173.609741,1
47,4.493219,Series RC,-0.042160,,4.52072091349e-07,1,1173.521850,169.640701,-0.042160,7500,0.604460,0.000515,300,79.642761,1,1000.000000,25.000000,16.000000,-90.002059,-1173.521850,1
48,4.588621,Series RC,0.145311,,4.52035461943e-07,1,1173.616943,164.431533,0.145311,7500,0.604482,0.000515,300,74.424415,1,1000.000000,25.000000,16.000000,-89.992897,-1173.616943,1
49,4.682278,Series RC,0.614250,,4.52054833846e-07,1,1173.566772,35.817104,0.614250,7500,0.604549,0.000515,300,-54.212882,1,1000.000000,25.000000,16.000000,-89.970016,-1173.566650,1
50,4.776860,Series RC,1.678512,,4.51930544023e-07,1,1173.890625,62.617759,1.678512,7500,0.604481,0.000515,300,-27.464162,1,1000.000000,25.000000,16.000000,-89.918075,-1173.889404,1
51,4.873085,Series RC,0.517067,,4.52135677741e-07,1,1173.356933,-162.137847,0.517067,7500,0.604530,0.000515,300,107.836914,1,1000.000000,25.000000,16.000000,-89.974754,-1173.356811,1
52,4.966736,Series RC,0.538104,,4.52088879772e-07,1,1173.478393,150.898971,0.538104,7500,0.604548,0.000515,300,60.872684,1,1000.000000,25.000000,16.000000,-89.973724,-1173.478271,1
53,5.061655,Series RC,0.279381,,4.51970164442e-07,1,1173.786499,-174.193893,0.279381,7500,0.604711,0.000515,300,95.792449,1,1000.000000,25.000000,16.000000,-89.986358,-1173.786499,1
54,5.156026,Series RC,-0.042152,,4.52151765287e-07,1,1173.315063,-3.827586,-0.042152,7500,0.604539,0.000515,300,-93.825515,1,1000.000000,25.000000,16.000000,-90.002059,-1173.315063,1
55,5.249919,Series RC,0.388326,,4.5187500243e-07,1,1174.033691,108.190879,0.388326,7500,0.604522,0.000515,300,18.171937,1,1000.000000,25.000000,16.000000,-89.981048,-1174.033691,1
56,5.345340,Series RC,0.651333,,4.51951316877e-07,1,1173.835571,165.369842,0.651333,7500,0.604633,0.000515,300,75.338066,1,1000.000000,25.000000,16.000000,-89.968208,-1173.835449,1
57,5.439978,Series RC,1.949621,,4.52016985207e-07,1,1173.666503,31.225505,1.949621,7500,0.604761,0.000515,300,-58.869670,1,1000.000000,25.000000,16.000000,-89.904823,-1173.664916,1
58,5.534753,Series RC,-0.130044,,4.51967391307e-07,1,1173.793701,171.210128,-0.130044,7500,0.604785,0.000515,300,81.216453,1,1000.000000,25.000000,16.000000,-90.006340,-1173.793701,1
59,5.630467,Series RC,-0.139008,,4.51937452696e-07,1,1173.871459,-30.802478,-0.139008,7500,0.604620,0.000515,300,-120.795692,1,1000.000000,25.000000,16.000000,-90.006782,-1173.871459,1
60,5.723751,Series RC,1.100122,,4.52112630476e-07,1,1173.417236,-128.692550,1.100122,7500,0.604660,0.000515,300,141.253723,1,1000.000000,25.000000,16.000000,-89.946281,-1173.416625,1
61,5.818712,Series RC,0.593128,,4.52158915803e-07,1,1173.296630,-142.846084,0.593128,7500,0.604581,0.000515,300,127.124946,1,1000.000000,25.000000,16.000000,-89.971031,-1173.296508,1
62,5.914620,Series RC,0.266296,,4.51855786794e-07,1,1174.083740,40.693206,0.266296,7500,0.604623,0.000515,300,-49.319801,1,1000.000000,25.000000,16.000000,-89.986999,-1174.083618,1
63,6.008020,Series RC,0.462012,,4.52080932092e-07,1,1173.499023,-47.905876,0.462012,7500,0.604627,0.000515,300,-137.928421,1,1000.000000,25.000000,16.000000,-89.977447,-1173.498901,1
64,6.103723,Series RC,0.703358,,4.51969882583e-07,1,1173.787475,-44.058933,0.703358,7500,0.604698,0.000515,300,-134.093276,1,1000.000000,25.000000,16.000000,-89.965660,-1173.787231,1
65,6.197125,Series RC,0.480297,,4.51988026608e-07,1,1173.740234,-145.705169,0.480297,7500,0.604692,0.000515,300,124.271369,1,1000.000000,25.000000,16.000000,-89.976547,-1173.740112,1
66,6.292783,Series RC,1.706115,,4.52255091509e-07,1,1173.048217,-139.590164,1.706115,7500,0.604575,0.000515,300,130.326492,1,1000.000000,25.000000,16.000000,-89.916664,-1173.046997,1
67,6.388621,Series RC,-0.346018,,4.52062827604e-07,1,1173.546020,112.866012,-0.346018,7500,0.604647,0.000515,300,22.882904,1,1000.000000,25.000000,16.000000,-90.016891,-1173.545898,1
68,6.481972,Series RC,0.739487,,4.52123871378e-07,1,1173.387695,28.367097,0.739487,7500,0.604677,0.000515,300,-61.669013,1,1000.000000,25.000000,16.000000,-89.963890,-1173.387451,1
69,6.575406,Series RC,0.204012,,4.52167524855e-07,1,1173.274169,24.461610,0.204012,7500,0.604501,0.000515,300,-65.548362,1,1000.000000,25.000000,16.000000,-89.990036,-1173.274169,1
70,6.671231,Series RC,1.438708,,4.52178486368e-07,1,1173.246582,31.725078,1.438708,7500,0.604598,0.000515,300,-58.345188,1,1000.000000,25.000000,16.000000,-89.929740,-1173.245727,1
71,6.764786,Series RC,0.035062,,4.52079333344e-07,1,1173.503051,-48.392120,0.035062,7500,0.604541,0.000515,300,-138.393829,1,1000.000000,25.000000,16.000000,-89.998291,-1173.503051,1
72,6.858961,Series RC,-0.135009,,4.52208363256e-07,1,1173.168212,-34.209095,-0.135009,7500,0.604420,0.000515,300,-124.202507,1,1000.000000,25.000000,16.000000,-90.006584,-1173.168212,1
73,6.954424,Series RC,0.747384,,4.52085211785e-07,1,1173.488037,58.931171,0.747384,7500,0.604544,0.000515,300,-31.105319,1,1000.000000,25.000000,16.000000,-89.963500,-1173.487792,1
74,7.048157,Series RC,0.641010,,4.52125987924e-07,1,1173.382080,-73.684799,0.641010,7500,0.604670,0.000515,300,-163.716094,1,1000.000000,25.000000,16.000000,-89.968704,-1173.381958,1
